"trial_type","trial_index","time_elapsed","internal_node_id","subject","walkNumber","success","rt","stimulus","key_press","test_part","leftProb","midProb","rightProb","generatedNum","correct"
"image-keyboard-response",633,419225,"0.0-3.207-1.207","s2zthvxk4cjltjq","71.csv","","null","resources/maskTrios/BT2B.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",634,420430,"0.0-3.207-2.207","s2zthvxk4cjltjq","71.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",635,420519,"0.0-3.208-0.208","s2zthvxk4cjltjq","71.csv","","87.39999997615814","resources/trios/L2T4A1.jpg","38","restless",0.7,0.8,0.5,0.644939459563745,"true"
"image-keyboard-response",636,420926,"0.0-3.208-1.208","s2zthvxk4cjltjq","71.csv","","null","resources/maskTrios/BT4B.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",637,422133,"0.0-3.208-2.208","s2zthvxk4cjltjq","71.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",638,422239,"0.0-3.209-0.209","s2zthvxk4cjltjq","71.csv","","103.5","resources/trios/L2T2A2.jpg","38","restless",0.7,0.8,0.5,0.122381239416611,"true"
"image-keyboard-response",639,422643,"0.0-3.209-1.209","s2zthvxk4cjltjq","71.csv","","null","resources/maskTrios/BT2B.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",640,423845,"0.0-3.209-2.209","s2zthvxk4cjltjq","71.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",641,424015,"0.0-3.210-0.210","s2zthvxk4cjltjq","71.csv","","168.10000002384186","resources/trios/L4T4A2.jpg","38","restless",0.7,0.8,0.5,0.866517251123309,"false"
"image-keyboard-response",642,424421,"0.0-3.210-1.210","s2zthvxk4cjltjq","71.csv","","null","resources/maskTrios/BT4B.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",643,425623,"0.0-3.210-2.210","s2zthvxk4cjltjq","71.csv","","null","resources/images/fishbone.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",644,425721,"0.0-3.211-0.211","s2zthvxk4cjltjq","71.csv","","95.09999990463257","resources/trios/L2T4A1.jpg","38","restless",0.7,0.8,0.5,0.738477891331245,"true"
"image-keyboard-response",645,426125,"0.0-3.211-1.211","s2zthvxk4cjltjq","71.csv","","null","resources/maskTrios/BT4B.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",646,427332,"0.0-3.211-2.211","s2zthvxk4cjltjq","71.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",647,427374,"0.0-3.212-0.212","s2zthvxk4cjltjq","71.csv","","40.299999952316284","resources/trios/L2T4A2.jpg","38","restless",0.7,0.8,0.5,0.824396355919501,"false"
"image-keyboard-response",648,427779,"0.0-3.212-1.212","s2zthvxk4cjltjq","71.csv","","null","resources/maskTrios/BT4B.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",649,428985,"0.0-3.212-2.212","s2zthvxk4cjltjq","71.csv","","null","resources/images/fishbone.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",650,429107,"0.0-3.213-0.213","s2zthvxk4cjltjq","71.csv","","119.5","resources/trios/L4T4A2.jpg","38","restless",0.7,0.8,0.5,0.0642613885548731,"true"
"image-keyboard-response",651,429513,"0.0-3.213-1.213","s2zthvxk4cjltjq","71.csv","","null","resources/maskTrios/BT4B.jpg","null","",NA,NA,NA,NA,""
